theme_id,preferred_label,alternative_labels,broader,related,definition,status
theme:infrastructure-control,infrastructure-control,"chokepoint-control;route-control;infrastructure-bottleneck",theme:competitive-advantage,"theme:distribution-control;theme:monopoly-power;theme:network-control",Control over physical or institutional infrastructure that affects access cost movement or market participation.,accepted
theme:capital-allocation,capital-allocation,"reinvestment;capital-deployment",theme:capital-and-wealth,"theme:wealth-creation;theme:ownership-control",Decisions about how money assets profits credit or investment capacity are deployed.,accepted
theme:wealth-creation,wealth-creation,"value-creation;fortune-building",theme:capital-and-wealth,"theme:capital-allocation;theme:ownership-control",Mechanisms by which economic value is produced captured compounded or converted into durable wealth.,accepted
theme:ownership-control,ownership-control,"control-rights;asset-control",theme:capital-and-wealth,"theme:capital-allocation;theme:infrastructure-control",Use of ownership voting power asset rights or practical control to direct economic outcomes.,accepted
theme:founder-dependence,founder-dependence,"key-person-risk;founder-centralization",theme:leadership-and-human-systems,"theme:succession-risk;theme:institutional-durability",Condition where an organization or fortune depends heavily on one founder's judgment authority reputation or relationships.,accepted
theme:succession-risk,succession-risk,"inheritance-risk;transition-risk",theme:leadership-and-human-systems,"theme:founder-dependence;theme:wealth-preservation",Risk created when leadership ownership authority or wealth transfers from one generation or leader to another.,accepted
theme:price-war,price-war,"fare-war;rate-war",theme:competition,"theme:cost-advantage;theme:market-pressure",Aggressive price competition intended to gain customers pressure rivals reshape markets or force negotiation.,accepted
theme:cost-advantage,cost-advantage,low-cost-position,theme:competitive-advantage,"theme:price-war;theme:operational-efficiency",Durable ability to produce or deliver at lower cost than rivals.,accepted
theme:operational-efficiency,operational-efficiency,"operating-discipline;process-efficiency",theme:business-and-organization,"theme:cost-advantage;theme:scale",Ability to produce deliver or operate with less waste lower cost greater reliability or higher throughput.,accepted
theme:strategic-pivot,strategic-pivot,"business-pivot;capability-transfer",theme:decision-making-and-judgment,"theme:capital-allocation;theme:technology-transition",Major shift from one market technology business model or asset base into another.,accepted
